date,open,high,low,close,adj_close,volume
2018-05-01,2646.25,2658.0,2623.25,2652.25,2652.25,1323628
2018-05-02,2655.5,2658.5,2624.25,2627.5,2627.5,1427995
2018-05-03,2626.75,2636.25,2591.25,2631.75,2631.75,2146587
2018-05-04,2631.75,2669.5,2612.25,2663.0,2663.0,1699202
2018-05-07,2662.75,2681.5,2661.25,2670.0,2670.0,1148919
2018-05-08,2668.0,2674.25,2652.25,2670.25,2670.25,1281751
2018-05-09,2669.75,2700.0,2666.5,2696.0,2696.0,1251722
2018-05-10,2696.0,2725.0,2692.75,2718.75,2718.75,1173629
2018-05-11,2716.25,2732.5,2716.25,2729.5,2729.5,1066248
2018-05-14,2727.25,2741.25,2724.25,2731.0,2731.0,945963
2018-05-15,2728.5,2731.25,2700.5,2709.0,2709.0,1519108
2018-05-16,2711.25,2728.0,2704.5,2723.0,2723.0,1057687
2018-05-17,2721.75,2732.0,2711.0,2718.75,2718.75,1071506
2018-05-18,2718.75,2727.0,2708.75,2713.0,2713.0,1013073
2018-05-21,2728.75,2739.25,2724.25,2733.0,2733.0,951913
2018-05-22,2731.25,2741.75,2721.5,2726.0,2726.0,891511
2018-05-23,2724.5,2733.0,2704.5,2730.75,2730.75,1295885
2018-05-24,2729.75,2733.25,2705.75,2727.5,2727.5,1277264
2018-05-25,2726.75,2737.75,2713.75,2718.25,2718.25,993783
2018-05-29,2721.25,2724.25,2675.0,2692.25,2692.25,1989677
2018-05-30,2693.25,2729.25,2685.75,2724.5,2724.5,1424364
2018-05-31,2720.25,2728.25,2699.75,2705.5,2705.5,1665452
2018-06-01,2707.5,2737.0,2706.0,2733.75,2733.75,1241171
2018-06-04,2731.0,2749.25,2729.0,2745.5,2745.5,857850
2018-06-05,2746.0,2753.25,2739.0,2751.5,2751.5,1027609
2018-06-06,2751.0,2774.75,2748.0,2772.25,2772.25,1326401
2018-06-07,2773.25,2779.75,2760.0,2772.25,2772.25,1773923
2018-06-08,2771.0,2779.75,2752.0,2778.75,2778.75,1367033
2018-06-11,2771.0,2790.5,2770.5,2783.0,2783.0,1218834
2018-06-12,2781.25,2789.75,2778.5,2784.0,2784.0,988748
2018-06-13,2788.0,2791.75,2773.75,2774.25,2774.25,614173
2018-06-14,2773.25,2789.25,2767.5,2783.25,2783.25,398105
2018-06-15,2782.5,2784.0,2766.25,2776.5,2776.5,1512061
2018-06-18,2780.0,2786.75,2761.25,2779.75,2779.75,993118
2018-06-19,2778.25,2780.25,2735.75,2766.25,2766.25,1657081
2018-06-20,2765.25,2778.25,2757.25,2772.0,2772.0,1082802
2018-06-21,2771.75,2785.25,2747.0,2752.5,2752.5,1493235
2018-06-22,2750.5,2768.5,2749.25,2759.5,2759.5,1108771
2018-06-25,2757.0,2758.0,2700.5,2722.25,2722.25,2206994
2018-06-26,2721.75,2735.25,2714.75,2728.5,2728.5,1399067
2018-06-27,2726.5,2748.0,2701.0,2705.0,2705.0,2117686
2018-06-28,2705.0,2726.25,2693.25,2719.5,2719.5,1678667
2018-06-29,2720.0,2745.5,2716.75,2721.5,2721.5,1641889
2018-07-02,2721.0,2728.5,2698.5,2727.25,2727.25,1213215
2018-07-05,2713.0,2739.75,2710.75,2738.5,2738.5,1165235
2018-07-06,2737.0,2766.25,2731.25,2763.0,2763.0,1287758
2018-07-09,2762.0,2788.0,2761.75,2787.5,2787.5,970337
2018-07-10,2787.5,2797.75,2780.5,2796.75,2796.75,925706
2018-07-11,2780.75,2787.75,2765.75,2774.0,2774.0,1369176
2018-07-12,2776.75,2801.0,2773.75,2798.5,2798.5,1120424
2018-07-13,2798.5,2807.25,2793.25,2803.25,2803.25,952307
2018-07-16,2804.75,2809.0,2795.0,2796.5,2796.5,801608
2018-07-17,2795.75,2815.75,2789.75,2811.25,2811.25,1059163
2018-07-18,2813.0,2818.25,2806.75,2816.0,2816.0,860523
2018-07-19,2814.5,2818.0,2800.25,2805.25,2805.25,1082645
2018-07-20,2805.5,2810.5,2793.0,2800.75,2800.75,1013663
2018-07-23,2805.25,2812.5,2792.5,2812.0,2812.0,812481
2018-07-24,2810.5,2831.25,2810.25,2821.0,2821.0,1347688
2018-07-25,2819.25,2849.5,2814.0,2841.25,2841.25,1302896
2018-07-26,2835.25,2846.5,2833.25,2842.5,2842.5,1039552
2018-07-27,2840.25,2847.0,2808.75,2817.5,2817.5,1492056
2018-07-30,2816.0,2821.75,2798.25,2803.25,2803.25,1169457
2018-07-31,2805.5,2827.75,2802.75,2817.0,2817.0,1366896
2018-08-01,2824.25,2825.75,2805.5,2810.75,2810.75,1098291
2018-08-02,2814.0,2831.25,2791.0,2828.5,2828.5,1238138
2018-08-03,2830.75,2841.5,2824.75,2839.5,2839.5,922242
2018-08-06,2841.5,2853.5,2835.0,2850.0,2850.0,797324
