Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,-10458.4847,0.0507,8.8771,4.5076,642.173
1,"(0, 1, 0)",1,0,n,False,True,False,,,False,False,True,-10464.8331,0.0507,8.8798,4.513,681.9795
2,"(0, 1, 0)",1,0,c,True,True,False,,,False,False,True,-10462.8359,0.0508,8.8908,4.5089,818.2353
3,"(0, 1, 0)",1,0,t,True,True,False,,,False,False,True,-9869.9387,0.0509,8.9135,4.6311,969.4661
4,"(0, 1, 0)",1,0,ct,True,True,False,,,False,False,True,-9863.8366,0.051,8.9218,4.7533,1027.935
5,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,True,-9805.6541,0.051,8.9284,7.0494,841.6795
6,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,True,-9794.3205,0.0511,8.9451,7.1661,667.6801
7,"(1, 0, 1)",0,2,c,True,True,False,,,False,False,True,-10469.3781,0.0514,8.9947,4.359,487.6098
8,"(2, 0, 0)",0,2,c,True,True,False,,,False,False,True,-10461.1433,0.0514,9.0021,4.1644,856.7935
9,"(1, 0, 1)",0,2,n,False,True,False,,,False,False,True,-10438.0961,0.0515,9.0094,4.3226,1068.9781
10,"(1, 1, 0)",1,1,n,False,True,False,,,False,False,True,-10474.8541,0.0515,9.0143,4.4985,747.5383
11,"(0, 1, 1)",1,1,c,True,True,False,,,False,False,True,-10469.2762,0.0515,9.0207,4.4969,859.3551
12,"(0, 1, 1)",1,1,n,False,True,False,,,False,False,True,-10474.9177,0.0516,9.0284,4.5124,767.1417
13,"(1, 1, 0)",1,1,c,True,True,False,,,False,False,True,-10472.7108,0.0516,9.0374,4.4967,775.2023
14,"(1, 1, 0)",1,1,t,True,True,False,,,False,False,True,-9777.635,0.0517,9.0547,4.9433,1309.9488
15,"(1, 1, 0)",1,1,ct,True,True,False,,,False,False,True,-9769.2215,0.0518,9.0673,4.9536,1352.2961
16,"(0, 1, 1)",1,1,t,True,True,False,,,False,False,True,-9769.3801,0.0518,9.0738,4.9942,1232.7192
17,"(0, 1, 1)",1,1,ct,True,True,False,,,False,False,True,-9758.7707,0.0519,9.0882,4.9746,1316.3417
18,"(2, 0, 0)",0,2,ct,True,True,False,,,False,False,True,-9646.866,0.053,9.2765,6.1554,1385.5272
19,"(1, 0, 1)",0,2,ct,True,True,False,,,False,False,True,-9595.0725,0.0537,9.3993,6.28,1794.7904
20,"(2, 0, 0)",0,2,t,True,True,False,,,False,False,True,-8267.1907,0.0694,12.1521,10.9561,1452.1281
21,"(2, 0, 0)",0,2,n,False,True,False,,,False,False,True,-9066.1227,0.0695,12.1627,4.9573,899.2242
22,"(1, 0, 1)",0,2,t,True,True,False,,,False,False,True,-4401.769,0.1608,28.1516,45.5883,924.3169
23,"(0, 0, 2)",0,2,c,True,True,False,,,False,False,True,-313.2093,0.2899,50.7393,67.2302,478.0941
24,"(0, 0, 2)",0,2,n,False,True,False,,,False,False,True,-314.8705,0.2933,51.3374,67.725,354.8865
25,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,True,2555.2276,0.5283,92.4779,92.9178,298.1993
26,"(0, 0, 1)",0,1,n,False,True,False,,,False,False,True,2552.8564,0.5301,92.7942,93.0142,414.0107
27,"(0, 0, 2)",0,2,t,True,True,False,,,False,False,True,1958.7825,0.5961,104.3351,99.4381,1371.632
28,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,True,2340.7726,0.6253,109.4535,100.3259,1192.2042
29,"(0, 0, 2)",0,2,ct,True,True,False,,,False,False,True,4362.7984,0.8073,141.3078,105.3205,1483.5739
30,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,True,5752.1402,0.8803,154.0785,107.6313,2175.8364
31,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,True,5869.8942,0.9727,170.255,130.6531,432.3505
32,"(0, 0, 0)",0,0,n,False,True,False,,,False,False,True,5867.8891,0.9734,170.371,130.7082,294.9762
33,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,True,5710.8654,1.1271,197.281,115.2044,1237.0783
34,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,True,6803.4353,1.2644,221.3103,113.6257,1465.687
35,"(1, 0, 0)",0,1,n,False,True,False,,,False,False,True,-10466.9916,0.0507,8.8565,4.3659,660.2799
36,"(0, 1, 2)",1,2,c,True,True,False,,,False,False,True,-10482.0223,0.0516,8.9969,4.5362,1284.175
37,"(0, 1, 2)",1,2,t,True,True,False,,,False,False,True,-9777.1913,0.0519,9.0515,5.0324,1930.2332
38,"(0, 1, 2)",1,2,ct,True,True,False,,,False,False,True,-9765.9902,0.052,9.0655,5.0156,1675.2239
39,"(0, 1, 2)",1,2,n,False,True,False,,,False,False,True,-10484.3421,0.0514,8.9752,4.5399,662.3014
40,"(1, 1, 1)",1,2,c,True,True,False,,,False,False,True,-10481.7033,0.0516,8.9975,4.5434,707.9289
41,"(1, 1, 1)",1,2,t,True,True,False,,,False,False,True,-9771.581,0.0519,9.0514,4.9671,1036.2399
42,"(1, 1, 1)",1,2,ct,True,True,False,,,False,False,True,-9759.7155,0.052,9.068,5.0446,965.2736
43,"(1, 1, 1)",1,2,n,False,True,False,,,False,False,True,-10484.9932,0.0515,8.9885,4.5463,531.3668
44,"(2, 1, 0)",1,2,c,True,True,False,,,False,False,True,-10479.514,0.0517,9.0222,4.5289,539.4246
45,"(2, 1, 0)",1,2,t,True,True,False,,,False,False,True,-9772.116,0.0519,9.048,5.0182,981.9051
46,"(2, 1, 0)",1,2,ct,True,True,False,,,False,False,True,-9762.3736,0.0519,9.0607,5.1387,1032.0912
