Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,True,5869.8942,0.9727,170.255,130.6531,432.3505
1,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,True,5710.8654,1.1271,197.281,115.2044,1237.0783
2,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,True,6803.4353,1.2644,221.3103,113.6257,1465.687
3,"(0, 0, 0)",0,0,n,False,True,False,,,False,False,True,5867.8891,0.9734,170.371,130.7082,294.9762
4,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,True,2555.2276,0.5283,92.4779,92.9178,298.1993
5,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,True,2340.7726,0.6253,109.4535,100.3259,1192.2042
6,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,True,5752.1402,0.8803,154.0785,107.6313,2175.8364
7,"(0, 0, 1)",0,1,n,False,True,False,,,False,False,True,2552.8564,0.5301,92.7942,93.0142,414.0107
8,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,-10458.4847,0.0507,8.8771,4.5076,642.173
9,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,True,-9805.6541,0.051,8.9284,7.0494,841.6795
10,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,True,-9794.3205,0.0511,8.9451,7.1661,667.6801
11,"(1, 0, 0)",0,1,n,False,True,False,,,False,False,True,-10461.8368,0.0507,8.87,4.3493,378.9634
12,"(0, 0, 2)",0,2,c,True,True,False,,,False,False,True,-313.2093,0.2899,50.7393,67.2302,478.0941
13,"(0, 0, 2)",0,2,t,True,True,False,,,False,False,True,1958.7825,0.5961,104.3351,99.4381,1371.632
14,"(0, 0, 2)",0,2,ct,True,True,False,,,False,False,True,4362.7984,0.8073,141.3078,105.3205,1483.5739
15,"(0, 0, 2)",0,2,n,False,True,False,,,False,False,True,-314.8705,0.2933,51.3374,67.725,354.8865
16,"(1, 0, 1)",0,2,c,True,True,False,,,False,False,True,-10469.3781,0.0514,8.9947,4.359,487.6098
17,"(1, 0, 1)",0,2,t,True,True,False,,,False,False,True,-4401.769,0.1608,28.1516,45.5883,924.3169
18,"(1, 0, 1)",0,2,ct,True,True,False,,,False,False,True,-9595.0725,0.0537,9.3993,6.2800,1794.7904
19,"(1, 0, 1)",0,2,n,False,True,False,,,False,False,False,,,,,
20,"(2, 0, 0)",0,2,c,True,True,False,,,False,False,False,,,,,
21,"(2, 0, 0)",0,2,t,True,True,False,,,False,False,False,,,,,
22,"(2, 0, 0)",0,2,ct,True,True,False,,,False,False,False,,,,,
23,"(2, 0, 0)",0,2,n,False,True,False,,,False,False,False,,,,,
