Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,-10823.4034,0.0534,7.7133,0.6642,746.1628
1,"(1, 1, 0)",1,1,n,False,True,False,,,False,False,True,-10828.946,0.0534,7.714,0.6633,915.127
2,"(0, 1, 0)",1,0,n,False,True,False,,,False,False,True,-10830.9398,0.0534,7.7141,0.6638,917.6172
3,"(0, 1, 1)",1,1,n,False,True,False,,,False,False,True,-10828.9421,0.0534,7.7141,0.6631,996.8532
4,"(0, 1, 0)",1,0,c,True,True,False,,,False,False,True,-10828.9494,0.0535,7.7225,0.6612,906.3503
5,"(1, 1, 0)",1,1,c,True,True,False,,,False,False,True,-10826.9003,0.0535,7.7226,0.6649,903.1374
6,"(0, 1, 1)",1,1,c,True,True,False,,,False,False,True,-10826.8986,0.0535,7.7227,0.6649,1157.7797
7,"(0, 1, 0)",1,0,t,True,True,False,,,False,False,True,-8732.7325,0.0535,7.7266,0.8191,1721.0276
8,"(0, 1, 1)",1,1,t,True,True,False,,,False,False,True,-8739.1722,0.0535,7.7271,0.8278,2102.1694
9,"(1, 1, 0)",1,1,t,True,True,False,,,False,False,True,-8732.1868,0.0535,7.7271,0.8277,1823.2867
10,"(0, 1, 0)",1,0,ct,True,True,False,,,False,False,True,-8718.2698,0.0536,7.7325,0.8554,1473.011
11,"(1, 1, 0)",1,1,ct,True,True,False,,,False,False,True,-8717.4818,0.0536,7.7332,0.862,1569.1651
12,"(0, 1, 1)",1,1,ct,True,True,False,,,False,False,True,-8725.5423,0.0536,7.7364,0.8241,1716.2393
13,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,True,-8878.8194,0.0542,7.8227,1.7685,1043.146
14,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,True,-9438.3222,0.0585,8.4406,6.7162,1022.7801
15,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,True,2372.03,0.4998,72.1625,54.8968,622.3725
16,"(0, 0, 1)",0,1,n,False,True,False,,,False,False,True,2369.724,0.5021,72.4866,55.0739,546.2242
17,"(0, 0, 1)",0,1,c,True,True,True,252.0,4.0,False,False,True,2381.8957,0.5124,73.9856,55.553,758.6733
18,"(0, 0, 1)",0,1,n,False,True,True,252.0,4.0,False,False,True,2379.704,0.514,74.2152,55.6766,498.4246
19,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,True,2097.1306,0.5723,82.63,71.7162,1691.6855
20,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,True,4979.922,0.8895,128.4195,85.7604,2100.725
21,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,True,5749.1395,0.9642,139.2145,97.4224,431.3162
22,"(0, 0, 0)",0,0,n,False,True,False,,,False,False,True,5747.1338,0.965,139.3245,97.4843,394.9568
23,"(0, 0, 0)",0,0,c,True,True,True,252.0,4.0,False,False,True,5759.6185,0.9799,141.4742,98.5226,1003.6009
24,"(0, 0, 0)",0,0,n,False,True,True,252.0,4.0,False,False,True,5757.6292,0.9804,141.5482,98.5592,491.0663
25,"(0, 0, 1)",0,1,t,True,True,True,252.0,4.0,False,False,True,4663.4139,0.9993,144.2727,92.9214,3035.8758
26,"(0, 0, 1)",0,1,ct,True,True,True,252.0,4.0,False,False,True,4931.321,1.0178,146.9573,90.5706,3008.0363
27,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,True,5328.5088,1.0906,157.458,94.8293,1277.1411
28,"(0, 0, 0)",0,0,t,True,True,True,252.0,4.0,False,False,True,5817.261,1.1211,161.8623,96.335,2052.1976
29,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,True,6485.0446,1.2164,175.631,95.2852,1529.3509
30,"(0, 0, 0)",0,0,ct,True,True,True,252.0,4.0,False,False,True,6381.7996,1.2223,176.4717,96.0097,2383.4605
31,"(1, 0, 0)",0,1,n,False,True,False,,,False,False,True,-10827.3296,0.0534,7.7103,0.6550,720.5880
