Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
16,"(1, 1, 0)",1,1,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11689.3322,4.4914,2.4801,0.9556,445.162
17,"(1, 1, 0)",1,1,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11687.3008,4.5015,2.4857,0.9545,1013.7541
18,"(1, 1, 0)",1,1,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11690.1947,4.5029,2.4864,0.9564,1155.3859
13,"(0, 1, 1)",1,1,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11702.7221,4.5033,2.4866,0.9581,503.7994
14,"(0, 1, 1)",1,1,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11708.7612,4.5215,2.4967,0.9563,1200.6712
15,"(0, 1, 1)",1,1,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11707.013,4.5292,2.5009,0.9598,1319.8732
11,"(0, 1, 0)",1,0,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11757.5324,4.5525,2.5138,0.9671,982.6165
12,"(0, 1, 0)",1,0,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11759.7792,4.5554,2.5154,0.9685,1065.4985
0,"(1, 1, 1)",1,0,c,TRUE,TRUE,FALSE,252,4,FALSE,FALSE,TRUE,11759.1866,4.5579,2.5168,0.9767,625.1943
10,"(0, 1, 0)",1,0,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11759.0773,4.5579,2.5168,0.9695,418.4312
8,"(1, 0, 0)",0,1,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11771.1102,4.558,2.5169,0.9706,727.9112
7,"(1, 0, 0)",0,1,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11780.2033,4.5627,2.5194,0.9739,349.9925
9,"(1, 0, 0)",0,1,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,11781.052,4.5902,2.5346,0.9916,754.2491
6,"(0, 0, 1)",0,1,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,18848.0211,20.013,11.0508,4.7994,907.635
5,"(0, 0, 1)",0,1,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,18880.3081,20.2553,11.1846,4.8508,806.0383
3,"(0, 0, 0)",0,0,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,21918.1266,37.0073,20.4347,9.0214,578.5098
2,"(0, 0, 0)",0,0,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,21942.8724,37.2963,20.5942,9.0801,533.6996
4,"(0, 0, 1)",0,1,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,25562.7735,67.1135,37.0587,21.8187,553.3462
1,"(0, 0, 0)",0,0,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,28977.3283,132.5363,73.1838,48.6446,341.085
