Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(2, 1, 4)",1,0,c,True,True,False,252.0,4.0,False,False,True,11920.0913,4.6085,2.2949,0.9676,842.904
1,"(0, 1, 0)",1,0,t,True,True,False,,,False,False,True,12001.9004,4.6464,2.3137,0.9735,936.8921
2,"(0, 1, 0)",1,0,ct,True,True,False,,,False,False,True,12003.2182,4.6481,2.3146,0.9748,1049.8579
3,"(0, 1, 0)",1,0,c,True,True,False,,,False,False,True,12002.1331,4.6524,2.3168,0.9757,421.1806
4,"(0, 1, 0)",1,0,n,False,True,False,,,False,False,True,12004.8988,4.6559,2.3185,0.9791,388.8132
5,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,True,28537.2884,119.4113,59.463,41.6562,216.2664
6,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,True,21675.5251,34.0527,16.9571,7.9029,300.6396
7,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,True,21658.8275,33.8607,16.8616,7.8673,346.8968
8,"(0, 0, 0)",0,0,n,False,True,False,,,False,False,True,28535.288,119.4655,59.49,41.679,243.3277
9,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,True,25140.31,60.6403,30.1969,19.0267,431.5866
10,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,True,18668.308,18.6625,9.2933,4.312,678.0648
11,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,True,18646.89,18.5075,9.2162,4.2824,761.5872
12,"(0, 0, 1)",0,1,n,False,True,False,,,False,False,True,25138.4344,60.7325,30.2428,19.0588,451.0726
13,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,12021.3584,4.6576,2.3193,0.9806,307.0107
14,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,True,12013.557,4.6501,2.3156,0.9764,613.938
15,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,True,12015.7894,4.6701,2.3256,0.9922,621.7127
16,"(1, 0, 0)",0,1,n,False,True,False,,,False,False,True,12019.8719,4.6581,2.3196,0.981,277.9546
17,"(0, 1, 1)",1,1,c,True,True,False,,,False,False,True,11951.3037,4.5985,2.2899,0.9646,411.6131
18,"(0, 1, 1)",1,1,t,True,True,False,,,False,False,True,11958.3451,4.627,2.3041,0.9652,940.7708
19,"(0, 1, 1)",1,1,ct,True,True,False,,,False,False,True,11951.7255,4.6056,2.2934,0.9617,901.2429
20,"(0, 1, 1)",1,1,n,False,True,False,,,False,False,True,11955.7165,4.604,2.2927,0.9693,311.9757
21,"(1, 1, 0)",1,1,c,True,True,False,,,False,False,True,11939.9237,4.587,2.2842,0.9624,309.9829
22,"(1, 1, 0)",1,1,t,True,True,False,,,False,False,True,11937.6097,4.6112,2.2962,0.9626,675.767
23,"(1, 1, 0)",1,1,ct,True,True,False,,,False,False,True,11940.3671,4.6333,2.3072,0.968,1117.0003
24,"(1, 1, 0)",1,1,n,False,True,False,,,False,False,True,11944.4586,4.5928,2.287,0.967,434.19
25,"(0, 1, 0)",1,0,c,True,True,True,1008.0,4.0,False,False,True,12043.9896,4.6763,2.3272,0.9829,757.511
26,"(0, 1, 2)",1,2,c,True,True,False,,,False,False,False,,,,,
27,"(0, 1, 2)",1,2,t,True,True,False,,,False,False,False,,,,,
28,"(0, 1, 2)",1,2,ct,True,True,False,,,False,False,False,,,,,
29,"(0, 1, 2)",1,2,n,False,True,False,,,False,False,False,,,,,
30,"(1, 1, 1)",1,2,c,True,True,False,,,False,False,False,,,,,
31,"(1, 1, 1)",1,2,t,True,True,False,,,False,False,False,,,,,
32,"(1, 1, 1)",1,2,ct,True,True,False,,,False,False,False,,,,,
33,"(1, 1, 1)",1,2,n,False,True,False,,,False,False,False,,,,,
34,"(2, 1, 0)",1,2,c,True,True,False,,,False,False,False,,,,,
35,"(2, 1, 0)",1,2,t,True,True,False,,,False,False,False,,,,,
36,"(2, 1, 0)",1,2,ct,True,True,False,,,False,False,False,,,,,
37,"(2, 1, 0)",1,2,n,False,True,False,,,False,False,False,,,,,
38,"(1, 1, 1)",1,2,t,True,True,True,1008.0,2.0,False,False,True,12701.5244,4.6562,2.3172,0.9760,1321.7929
