Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(1, 1, 1)",1,0,c,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,TRUE,29096.8702,3.2098,2.7838,0.7095,4577.3337
1,"(1, 1, 1)",1,0,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,29092.9195,3.2098,2.7838,0.709,2341.2081
84,"(0, 1, 0)",1,0,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,31111.9093,3.211,2.7849,0.7105,5124.9362
83,"(0, 1, 0)",1,0,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,29216.021,3.2113,2.7851,0.7108,2102.9556
85,"(0, 1, 0)",1,0,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,31115.6948,3.2115,2.7853,0.7109,6551.0662
80,"(0, 1, 0)",1,0,n,FALSE,TRUE,FALSE,,,FALSE,FALSE,TRUE,29219.6957,3.2128,2.7864,0.712,2389.0959
2,"(4, 1, 6)",1,10,t,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,TRUE,29184.1424,3.2173,2.7903,0.7135,16114.6848
3,"(4, 1, 6)",1,10,t,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,TRUE,16560.2731,3.2241,2.7962,0.7154,19729.7492
4,"(0, 0, 0)",0,0,n,FALSE,TRUE,TRUE,252,2,TRUE,FALSE,TRUE,68515.0519,152.2547,132.048,71.2603,1877.0482
5,"(4, 0, 6)",0,10,c,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
6,"(4, 0, 6)",0,10,c,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
7,"(4, 0, 6)",0,10,c,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
8,"(4, 0, 6)",0,10,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
9,"(4, 0, 6)",0,10,t,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
10,"(4, 0, 6)",0,10,t,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
11,"(4, 0, 6)",0,10,t,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
12,"(4, 0, 6)",0,10,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
13,"(4, 0, 6)",0,10,ct,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
14,"(4, 0, 6)",0,10,ct,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
15,"(4, 0, 6)",0,10,ct,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
16,"(4, 0, 6)",0,10,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
17,"(5, 0, 5)",0,10,c,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
18,"(5, 0, 5)",0,10,c,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
19,"(5, 0, 5)",0,10,c,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
20,"(5, 0, 5)",0,10,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
21,"(5, 0, 5)",0,10,t,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
22,"(5, 0, 5)",0,10,t,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
23,"(5, 0, 5)",0,10,t,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
24,"(5, 0, 5)",0,10,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
25,"(5, 0, 5)",0,10,ct,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
26,"(5, 0, 5)",0,10,ct,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
27,"(5, 0, 5)",0,10,ct,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
28,"(5, 0, 5)",0,10,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
29,"(6, 0, 4)",0,10,c,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
30,"(6, 0, 4)",0,10,c,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
31,"(6, 0, 4)",0,10,c,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
32,"(6, 0, 4)",0,10,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
33,"(6, 0, 4)",0,10,t,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
34,"(6, 0, 4)",0,10,t,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
35,"(6, 0, 4)",0,10,t,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
36,"(6, 0, 4)",0,10,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
37,"(6, 0, 4)",0,10,ct,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
38,"(6, 0, 4)",0,10,ct,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
39,"(6, 0, 4)",0,10,ct,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
40,"(6, 0, 4)",0,10,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
41,"(4, 1, 6)",1,10,c,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
42,"(4, 1, 6)",1,10,c,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
43,"(4, 1, 6)",1,10,c,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
44,"(4, 1, 6)",1,10,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
45,"(4, 1, 6)",1,10,t,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
46,"(4, 1, 6)",1,10,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
47,"(4, 1, 6)",1,10,ct,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
48,"(4, 1, 6)",1,10,ct,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
49,"(4, 1, 6)",1,10,ct,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
50,"(4, 1, 6)",1,10,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
51,"(5, 1, 5)",1,10,c,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
52,"(5, 1, 5)",1,10,c,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
53,"(5, 1, 5)",1,10,c,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
54,"(5, 1, 5)",1,10,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
55,"(5, 1, 5)",1,10,t,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
56,"(5, 1, 5)",1,10,t,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
57,"(5, 1, 5)",1,10,t,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
58,"(5, 1, 5)",1,10,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
59,"(5, 1, 5)",1,10,ct,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
60,"(5, 1, 5)",1,10,ct,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
61,"(5, 1, 5)",1,10,ct,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
62,"(5, 1, 5)",1,10,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
63,"(6, 1, 4)",1,10,c,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
64,"(6, 1, 4)",1,10,c,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
65,"(6, 1, 4)",1,10,c,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
66,"(6, 1, 4)",1,10,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
67,"(6, 1, 4)",1,10,t,TRUE,TRUE,TRUE,252,2,TRUE,FALSE,FALSE,,,,,
68,"(6, 1, 4)",1,10,t,TRUE,TRUE,TRUE,252,2,FALSE,FALSE,FALSE,,,,,
69,"(6, 1, 4)",1,10,t,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,,,,
70,"(6, 1, 4)",1,10,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,,
