Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
18,"(1, 1, 0)",1,1,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10714.0959,3.5018,1.7361,0.747,768.4158
11,"(0, 1, 0)",1,0,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10714.7182,3.5022,1.7363,0.743,838.1553
15,"(0, 1, 1)",1,1,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10779.8037,3.5067,1.7385,0.7473,1322.8763
12,"(0, 1, 0)",1,0,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10759.5468,3.5074,1.7389,0.7443,955.343
17,"(1, 1, 0)",1,1,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10709.937,3.5081,1.7392,0.7474,904.8561
10,"(0, 1, 0)",1,0,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10716.7981,3.5092,1.7397,0.7451,359.6111
8,"(1, 0, 0)",0,1,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10733.6022,3.5098,1.7401,0.7458,646.7872
14,"(0, 1, 1)",1,1,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10707.7082,3.5103,1.7403,0.7472,1243.6269
7,"(1, 0, 0)",0,1,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10739.5729,3.5146,1.7424,0.7482,288.8498
13,"(0, 1, 1)",1,1,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10709.7383,3.515,1.7426,0.7491,440.8104
16,"(1, 1, 0)",1,1,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10709.1448,3.515,1.7426,0.7493,452.1898
0,"(1, 1, 2)",1,0,c,TRUE,TRUE,FALSE,252,4,FALSE,FALSE,TRUE,10713.7239,3.5235,1.7469,0.7512,631.9191
9,"(1, 0, 0)",0,1,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,10740.0562,3.5301,1.7501,0.7572,689.2617
6,"(0, 0, 1)",0,1,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,18486.9393,17.9059,8.8772,4.0651,703.2627
5,"(0, 0, 1)",0,1,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,18518.7477,18.1116,8.9791,4.1013,638.3382
3,"(0, 0, 0)",0,0,ct,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,21599.1968,33.4685,16.5926,7.7253,482.4977
2,"(0, 0, 0)",0,0,t,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,21625.1192,33.6554,16.6853,7.7584,438.7516
4,"(0, 0, 1)",0,1,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,25168.3109,61.198,30.34,19.1136,442.3159
1,"(0, 0, 0)",0,0,c,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,28563.245,120.2475,59.6148,41.8378,287.6304
