Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(0, 1, 1)",1,1,t,True,True,False,,,False,False,True,11696.1158,4.2332,2.1083,0.9189,1250.6114
1,"(0, 1, 1)",1,1,ct,True,True,False,,,False,False,True,11690.1209,4.2335,2.1084,0.9202,1492.5944
2,"(1, 1, 0)",1,1,ct,True,True,False,,,False,False,True,11688.6324,4.2355,2.1094,0.9204,1164.3613
3,"(1, 1, 0)",1,1,t,True,True,False,,,False,False,True,11687.1865,4.2384,2.1109,0.9196,1020.6703
4,"(1, 1, 0)",1,1,c,True,True,False,,,False,False,True,11688.2106,4.2414,2.1124,0.9229,457.2984
5,"(0, 1, 1)",1,1,c,True,True,False,,,False,False,True,11688.7945,4.2417,2.1125,0.9233,506.903
6,"(0, 1, 0)",1,0,ct,True,True,False,,,False,False,True,11734.0219,4.242,2.1127,0.9251,1118.093
7,"(0, 1, 0)",1,0,t,True,True,False,,,False,False,True,11696.5939,4.245,2.1142,0.9244,947.8058
8,"(0, 1, 0)",1,0,c,True,True,False,,,False,False,True,11698.1822,4.2458,2.1145,0.9268,426.5875
9,"(2, 1, 2)",1,0,c,True,True,False,252.0,4.0,False,False,True,11677.9819,4.2486,2.116,0.927,548.94
10,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,True,11709.8696,4.2487,2.116,0.9293,481.7476
11,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,11717.8709,4.251,2.1171,0.9326,210.7231
12,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,True,11718.8391,4.2711,2.1272,0.9396,788.4143
13,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,True,18635.9516,18.429,9.1783,4.2585,470.4565
14,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,True,18664.293,18.6051,9.2659,4.291,466.8858
15,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,True,21659.4894,33.8235,16.8452,7.8747,426.7547
16,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,True,21684.1802,34.0518,16.959,7.9191,527.7724
17,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,True,25160.3371,61.0199,30.39,19.0629,352.3255
18,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,True,28537.0453,119.3751,59.4528,41.6503,338.3205
19,"(0, 0, 0)",0,0,t,True,True,True,1008.0,2.0,False,False,False,,,,,
20,"(0, 0, 1)",0,1,t,True,True,True,1008.0,2.0,False,False,False,,,,,
21,"(1, 0, 0)",0,1,t,True,True,True,1008.0,2.0,False,False,False,,,,,
22,"(0, 1, 0)",1,0,t,True,True,True,1008.0,2.0,False,False,False,,,,,
23,"(0, 1, 1)",1,1,t,True,True,True,1008.0,2.0,False,False,True,11728.1434,4.2519,2.1163,0.9212,1165.6332
24,"(1, 1, 0)",1,1,t,True,True,True,1008.0,2.0,False,False,False,,,,,
