Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(0, 1, 1)",1,1,c,True,True,False,,,False,True,True,900.9947,30091737.82,25.0588,24.6882,572.0915
1,"(0, 1, 1)",1,1,ct,True,True,False,,,False,True,True,933.7198,30140346.95,25.0993,24.8738,896.9862
2,"(0, 1, 1)",1,1,t,True,True,False,,,False,True,True,931.6054,30144775.16,25.103,24.8759,1504.6041
3,"(1, 1, 0)",1,1,c,True,True,False,,,False,True,True,1080.8837,30660983.33,25.5328,25.435,342.1606
4,"(1, 1, 0)",1,1,ct,True,True,False,,,False,True,True,1098.334,31009031.51,25.8227,25.6082,859.0197
5,"(1, 1, 0)",1,1,t,True,True,False,,,False,True,True,1096.3188,31021152.2,25.8328,25.6128,874.027
6,"(1, 0, 0)",0,1,c,True,True,False,,,False,True,True,1149.2134,32099119.67,26.7304,26.2699,381.7075
7,"(1, 1, 2)",1,0,c,False,True,False,252.0,4.0,False,True,True,795.6569,32400339.2,26.9813,24.3737,698.7009
8,"(0, 1, 0)",1,0,c,True,True,False,,,False,True,True,1424.7105,32978497.5,27.4627,26.9757,399.5427
9,"(0, 1, 0)",1,0,ct,True,True,False,,,False,True,True,1442.8974,33350909.73,27.7729,27.2361,1313.3517
10,"(1, 0, 0)",0,1,t,True,True,False,,,False,True,True,1104.0659,33355695.28,27.7769,25.6742,890.3901
11,"(0, 1, 0)",1,0,t,True,True,False,,,False,True,True,1440.8901,33371441.05,27.79,27.241,1307.2772
12,"(1, 0, 0)",0,1,ct,True,True,False,,,False,True,True,1050.0804,37240036.81,31.0115,25.5129,1030.7397
13,"(0, 0, 1)",0,1,c,True,True,False,,,False,True,True,2341.6996,44618923.3,37.1563,35.914,564.3773
14,"(0, 0, 1)",0,1,t,True,True,False,,,False,True,True,1981.9933,48140803.32,40.0891,30.6506,1289.7542
15,"(0, 0, 1)",0,1,ct,True,True,False,,,False,True,True,1875.8503,51629241.17,42.9941,30.6016,1502.5696
16,"(0, 0, 0)",0,0,t,True,True,False,,,False,True,True,3051.9868,57672513.21,48.0266,36.6277,918.2847
17,"(0, 0, 0)",0,0,c,True,True,False,,,False,True,True,3622.2068,57805923.41,48.1377,46.7706,480.2132
18,"(0, 0, 0)",0,0,ct,True,True,False,,,False,True,True,2791.1705,59648803.81,49.6724,36.2651,1133.7362
19,"(1, 1, 2)",1,0,c,False,True,False,252.0,4.0,False,True,True,795.6569,32400339.2037,26.9813,24.3737,760.2188
20,"(0, 0, 0)",0,0,n,False,True,False,,,False,True,True,3620.2331,57818425.7264,48.1481,46.7852,513.4454
21,"(0, 0, 1)",0,1,n,False,True,False,,,False,True,False,,,,,
22,"(1, 0, 0)",0,1,n,False,True,False,,,False,True,False,,,,,
23,"(0, 1, 0)",1,0,n,False,True,False,,,False,True,False,,,,,
24,"(0, 1, 1)",1,1,n,False,True,False,,,False,True,False,,,,,
25,"(1, 1, 0)",1,1,n,False,True,False,,,False,True,False,,,,,
