Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(0, 1, 0)",1,0,c,False,True,False,252.0,4.0,False,False,True,-8287.7103,0.0499,2.1685,3.2174,758.6832
1,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,True,4671.9228,1.0437,45.3177,57.9794,388.2595
2,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,True,4411.3619,0.978,42.4655,55.2152,1083.5359
3,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,True,4518.9719,1.067,46.3271,59.0806,1499.8133
4,"(0, 0, 0)",0,0,n,False,True,False,,,False,False,True,4669.954,1.0449,45.3698,58.0159,353.3315
5,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,True,1468.5928,0.5461,23.7098,37.909,540.5002
6,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,True,1278.3326,0.5085,22.0794,35.5603,1569.3068
7,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,True,1527.2368,0.58,25.1811,39.863,2040.8271
8,"(0, 0, 1)",0,1,n,False,True,False,,,False,False,True,1466.8773,0.5489,23.8306,38.0264,486.3346
9,"(0, 0, 2)",0,2,c,True,True,False,,,False,False,True,-1034.2197,0.3244,14.085,25.1027,611.5466
10,"(0, 0, 2)",0,2,t,True,True,False,,,False,False,True,-426.45,0.3518,15.2762,25.7548,1441.9858
11,"(0, 0, 2)",0,2,ct,True,True,False,,,False,False,True,-276.3247,0.4008,17.4007,30.0923,2357.5001
12,"(0, 0, 2)",0,2,n,False,True,False,,,False,False,True,-1035.4632,0.3281,14.244,25.3327,350.158
13,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,-8275.9957,0.0504,2.1872,3.2796,409.1791
14,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,True,-8250.7794,0.0505,2.1931,3.3188,522.4362
15,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,True,-8234.3331,0.0508,2.206,3.3373,757.3851
16,"(1, 0, 0)",0,1,n,False,True,False,,,False,False,True,-8276.4029,0.0504,2.1892,3.2903,499.4578
17,"(1, 0, 1)",0,2,c,True,True,False,,,False,False,True,-8274.8587,0.0504,2.1869,3.2774,626.9996
18,"(1, 0, 1)",0,2,t,True,True,False,,,False,False,True,-8249.224,0.0505,2.1926,3.3164,801.656
19,"(1, 0, 1)",0,2,ct,True,True,False,,,False,False,True,-8232.9351,0.0508,2.2054,3.3351,1078.79
20,"(1, 0, 1)",0,2,n,False,True,False,,,False,False,True,-8275.5052,0.0504,2.1883,3.2864,550.9923
21,"(2, 0, 0)",0,2,c,True,True,False,,,False,False,True,-8274.1281,0.0504,2.1873,3.2784,633.3111
22,"(2, 0, 0)",0,2,t,True,True,False,,,False,False,True,-8249.0209,0.0505,2.1929,3.3175,790.3009
23,"(2, 0, 0)",0,2,ct,True,True,False,,,False,False,True,-8232.7021,0.0508,2.2057,3.3359,1054.4318
24,"(2, 0, 0)",0,2,n,False,True,False,,,False,False,True,-8274.5747,0.0504,2.1892,3.2893,600.6657
25,"(0, 1, 0)",1,0,c,True,True,False,,,False,False,True,-8286.2251,0.0499,2.1683,3.223,606.815
26,"(0, 1, 0)",1,0,t,True,True,False,,,False,False,True,-8282.1024,0.05,2.1696,3.2246,834.6114
27,"(0, 1, 0)",1,0,ct,True,True,False,,,False,False,True,-8279.693,0.05,2.1724,3.2307,655.7867
28,"(0, 1, 0)",1,0,n,False,True,False,,,False,False,True,-8287.7103,0.0499,2.1685,3.2174,397.1968
29,"(0, 1, 1)",1,1,c,True,True,False,,,False,False,True,-8284.1181,0.05,2.1691,3.2228,595.7301
30,"(0, 1, 1)",1,1,t,True,True,False,,,False,False,True,-8279.8344,0.05,2.1703,3.2237,691.001
31,"(0, 1, 1)",1,1,ct,True,True,False,,,False,False,True,-8277.4201,0.0501,2.1732,3.2302,800.6299
32,"(0, 1, 1)",1,1,n,False,True,False,,,False,False,True,-8285.5979,0.05,2.1692,3.2169,501.2294
33,"(0, 1, 2)",1,2,c,True,True,False,,,False,False,True,-8282.4487,0.05,2.1694,3.2228,710.0615
34,"(0, 1, 2)",1,2,t,True,True,False,,,False,False,True,-8277.9704,0.05,2.1702,3.2229,911.3193
35,"(0, 1, 2)",1,2,ct,True,True,False,,,False,False,True,-8275.5676,0.0501,2.1731,3.2291,1132.7845
36,"(0, 1, 2)",1,2,n,False,True,False,,,False,False,True,-8283.7786,0.05,2.1695,3.217,693.9225
37,"(1, 1, 0)",1,1,c,True,True,False,,,False,False,True,-8284.1649,0.05,2.1691,3.2229,604.2321
